mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950148931,萊爾富便利商店,南港區,舊莊街一段3巷16號,萊爾富,,,0,311551.278,2770814.563,www.hilife.com.tw/,Hi-Life,0,,,舊莊里,休閒購物,生活購物,便利商店,,
0950148962,萊爾富便利商店北市正喜店,中正區,牯嶺街117號,萊爾富,,,0,301558.175,2768868.221,www.hilife.com.tw/,Hi-Life Zhengxi Branch,0,,,板溪里,休閒購物,生活購物,便利商店,,
0950149008,萊爾富便利商店北市明水店,中山區,明水路397巷7弄32號,萊爾富,,,0,304626.405,2774719.929,www.hilife.com.tw/,Hi-Life Mingshui Branch,0,,,永安里,休閒購物,生活購物,便利商店,,
0950149028,萊爾富便利商店北市南海店,中正區,南海路12號,萊爾富,,,1,301366.611,2769686.577,www.hilife.com.tw/,Hi-Life Nanhai Branch,0,,,龍福里,休閒購物,生活購物,便利商店,,
0950149032,萊爾富便利商店北市南港三店,南港區,忠孝東路六段252號,萊爾富,,,0,308529.187,2771529.931,www.hilife.com.tw/,Hi-Life Nangang 3 Branch,0,,,聯成里,休閒購物,生活購物,便利商店,,
0950148970,萊爾富便利商店北市民權二店,松山區,民權東路五段32號,萊爾富,,,0,306113.431,2773061.536,www.hilife.com.tw/,Hi-Life Minquan 2 Branch,0,,,富錦里,休閒購物,生活購物,便利商店,,
0950149007,萊爾富便利商店北市昆陽店,南港區,昆陽街99號,萊爾富,,,0,309075.062,2771807.902,www.hilife.com.tw/,Hi-Life Kunyang Branch,0,,,西新里,休閒購物,生活購物,便利商店,,
0950148932,萊爾富便利商店北市羅斯福店,大安區,羅斯福路二段75號,萊爾富,,,0,301966.965,2769013.467,www.hilife.com.tw/,Hi-Life,0,,,,休閒購物,生活購物,便利商店,,
0950148978,萊爾富便利商店北市同德店,大同區,承德路三段290號,萊爾富,,,0,301568.66,2774275.919,www.hilife.com.tw/,Hi-Life Tongde Branch,0,,,保安里,休閒購物,生活購物,便利商店,,
0950149036,萊爾富便利商店北市馬偕店,中山區,民生西路3巷2號,萊爾富,,,0,301804.374,2772514.224,www.hilife.com.tw/,Hi-Life Mackay Branch,0,,,集英里,休閒購物,生活購物,便利商店,,
0950149058,萊爾富便利商店北市新喜店,中山區,德惠街167巷2號,萊爾富,,,0,302809.657,2773470.166,www.hilife.com.tw/,Hi-Life Xinxi Branch,0,,,新喜里,休閒購物,生活購物,便利商店,,
0950156189,萊爾富便利商店北市正博店,中正區,博愛路9號,,,,0,300781.629,2771164.836,,,0,,,,休閒購物,生活購物,便利商店,,
0950148951,萊爾富便利商店北市木新三店,文山區,木新路二段163號,萊爾富,,,0,306587.946,2764314.813,www.hilife.com.tw/,Hi-Life Muxin 3 Branch,0,,,木新里,休閒購物,生活購物,便利商店,,
0950149000,萊爾富便利商店北市辛亥店,文山區,辛亥路四段224號,萊爾富,,,0,305219.052,2766339.157,www.hilife.com.tw/,Hi-Life Xinhai Branch,0,,,興泰里,休閒購物,生活購物,便利商店,,
